mantenimiento_id,moto_id,mecanico_id,fecha,descripcion
1,324,106,2020-01-28 22:58:54,Revisión general
2,388,104,2021-05-19 01:52:35,Ajuste de motor
3,773,33,2020-10-06 04:36:00,Cambio de aceite
4,238,42,2022-07-04 12:52:34,Ajuste de frenos
5,661,163,2022-02-13 14:14:57,Ajuste de motor
6,830,45,2021-12-21 22:54:16,Ajuste de frenos
7,451,25,2022-07-10 06:12:37,Ajuste de motor
8,396,175,2020-11-25 19:22:29,Cambio de aceite
9,525,151,2020-06-09 13:16:01,Cambio de aceite
10,934,145,2022-08-20 01:50:58,Ajuste de motor
11,777,98,2020-02-08 23:39:21,Cambio de llantas
12,983,119,2020-06-11 13:21:57,Cambio de aceite
13,940,173,2020-07-15 11:48:51,Revisión general
14,169,47,2020-03-26 14:27:18,Cambio de llantas
15,312,1,2022-03-02 20:51:54,Cambio de aceite
16,653,118,2020-07-04 23:07:41,Cambio de llantas
17,640,117,2020-07-11 00:00:35,Revisión general
18,987,91,2022-09-16 21:17:19,Ajuste de motor
19,347,64,2022-07-24 10:54:43,Ajuste de frenos
20,117,183,2020-07-01 09:15:40,Cambio de aceite
21,978,22,2020-09-26 11:38:30,Ajuste de frenos
22,936,161,2021-06-14 22:00:13,Revisión general
23,696,48,2021-05-05 14:10:04,Cambio de aceite
24,127,117,2021-05-04 05:00:54,Revisión general
25,772,148,2020-05-06 05:48:31,Ajuste de frenos
26,134,121,2021-02-22 10:54:33,Revisión general
27,792,196,2020-10-11 03:41:06,Cambio de llantas
28,305,17,2021-09-16 01:23:01,Ajuste de frenos
29,174,99,2021-08-27 03:21:36,Cambio de llantas
30,1000,131,2020-03-10 18:54:20,Ajuste de motor
31,938,50,2022-10-30 01:12:51,Ajuste de frenos
32,939,171,2021-01-05 17:35:34,Cambio de llantas
33,692,121,2020-04-11 15:26:52,Cambio de aceite
34,815,177,2020-08-21 13:07:44,Cambio de llantas
35,694,132,2020-03-14 04:33:20,Ajuste de motor
36,613,107,2020-08-20 15:39:21,Ajuste de frenos
37,75,124,2021-12-21 08:34:47,Revisión general
38,373,62,2022-12-30 03:12:28,Revisión general
39,709,18,2022-05-30 10:58:17,Cambio de llantas
40,216,24,2020-01-18 11:01:31,Revisión general
41,849,144,2020-03-28 21:24:23,Ajuste de frenos
42,759,31,2022-10-06 20:33:41,Revisión general
43,190,102,2022-07-10 23:04:39,Revisión general
44,654,124,2021-09-14 17:47:44,Cambio de aceite
45,685,166,2020-10-18 06:26:16,Revisión general
46,304,116,2021-10-02 00:10:40,Cambio de llantas
47,4,170,2020-11-14 18:59:53,Cambio de llantas
48,475,78,2021-04-24 14:09:38,Revisión general
49,675,189,2021-01-20 10:57:00,Cambio de llantas
50,369,54,2021-06-20 16:04:53,Cambio de llantas
51,372,30,2022-12-25 07:36:00,Ajuste de frenos
52,619,127,2021-01-25 06:36:53,Cambio de aceite
53,685,75,2022-03-16 12:51:46,Revisión general
54,771,8,2021-05-04 05:43:57,Ajuste de frenos
55,78,136,2020-02-15 03:32:09,Revisión general
56,215,157,2021-12-25 08:15:34,Cambio de aceite
57,781,98,2020-02-05 04:02:37,Cambio de llantas
58,522,18,2021-08-17 08:21:23,Ajuste de motor
59,593,25,2020-09-09 20:45:53,Ajuste de frenos
60,644,65,2022-09-11 16:11:05,Ajuste de motor
61,193,163,2021-09-01 18:19:40,Revisión general
62,314,160,2020-03-31 17:44:03,Ajuste de frenos
63,525,189,2022-01-26 07:42:15,Revisión general
64,931,75,2022-03-11 10:29:34,Ajuste de frenos
65,317,88,2022-04-27 21:28:10,Cambio de llantas
66,641,118,2022-10-17 19:51:54,Cambio de llantas
67,22,45,2020-03-21 18:57:39,Ajuste de frenos
68,925,24,2020-12-18 20:22:03,Ajuste de frenos
69,504,74,2021-10-07 07:40:59,Cambio de aceite
70,194,78,2021-08-16 00:58:26,Ajuste de motor
71,411,113,2022-12-04 22:05:58,Revisión general
72,449,6,2021-08-27 09:01:01,Cambio de aceite
73,726,42,2022-08-18 15:39:56,Revisión general
74,535,15,2022-07-25 17:09:31,Cambio de llantas
75,116,139,2020-03-30 10:06:46,Revisión general
76,419,181,2021-12-11 02:24:01,Revisión general
77,482,158,2022-04-26 02:11:38,Ajuste de motor
78,346,119,2020-12-25 16:07:19,Ajuste de motor
79,840,37,2021-07-21 02:01:13,Revisión general
80,268,16,2022-04-20 20:24:51,Ajuste de motor
81,238,41,2021-08-28 21:53:11,Ajuste de frenos
82,726,157,2021-11-29 16:01:42,Ajuste de frenos
83,599,4,2020-04-26 12:40:04,Cambio de aceite
84,904,32,2021-04-17 22:02:26,Revisión general
85,418,55,2021-03-07 11:40:13,Ajuste de frenos
86,156,103,2021-09-22 10:43:31,Cambio de aceite
87,954,36,2021-04-05 03:21:11,Cambio de aceite
88,456,170,2020-05-19 13:05:47,Revisión general
89,487,43,2021-02-25 14:27:33,Ajuste de motor
90,455,46,2021-04-14 22:47:54,Revisión general
91,489,19,2022-12-01 05:39:35,Revisión general
92,922,66,2021-06-23 03:22:48,Ajuste de motor
93,260,115,2021-08-08 17:16:22,Ajuste de frenos
94,905,110,2020-11-14 17:16:33,Revisión general
95,430,42,2021-11-23 02:13:45,Ajuste de frenos
96,591,120,2020-07-22 12:47:10,Ajuste de frenos
97,979,115,2022-05-11 07:06:47,Cambio de aceite
98,572,136,2020-10-09 09:01:26,Ajuste de frenos
99,840,19,2021-03-30 18:03:03,Revisión general
100,576,101,2020-02-12 16:19:25,Ajuste de frenos
101,659,89,2022-10-17 05:56:00,Cambio de llantas
102,276,30,2020-05-18 07:38:21,Cambio de aceite
103,423,165,2020-10-07 21:30:47,Revisión general
104,638,55,2020-07-08 14:22:13,Ajuste de motor
105,415,45,2021-10-19 05:49:29,Revisión general
106,143,178,2020-05-28 03:51:14,Ajuste de frenos
