venta_id,moto_id,cliente_id,vendedor_id,fecha,precio_final
1,685,690,166,2022-12-08 19:51:59,38019.39
2,560,192,119,2021-07-20 09:50:39,10185.82
3,630,885,359,2021-06-05 16:45:28,20395.44
4,193,616,267,2020-05-23 02:49:20,30442.5
5,836,650,234,2022-09-24 20:21:23,27738.02
6,764,25,308,2022-09-10 16:14:40,46118.27
7,708,69,148,2021-04-15 10:49:11,37203.61
8,360,795,182,2022-09-14 04:49:08,25151.25
9,10,821,426,2020-06-16 00:19:18,13602.22
10,724,108,379,2022-01-12 22:24:50,35478.3
11,278,567,491,2022-02-12 01:29:08,15078.95
12,755,470,266,2022-08-07 13:04:25,24885.42
13,805,719,462,2020-02-22 06:09:11,40396.11
14,600,158,74,2022-05-29 00:23:57,46005.23
15,71,898,158,2020-08-14 13:59:10,14131.89
16,473,207,66,2022-02-20 17:40:29,34793.82
17,601,257,380,2021-08-15 06:52:51,21203.6
18,397,528,374,2021-05-19 08:16:39,42450.45
19,315,418,312,2022-07-15 23:32:35,21194.97
20,706,673,84,2021-07-28 06:05:05,43792.09
21,487,766,97,2021-07-10 11:12:40,20896.0
22,552,756,419,2020-07-17 13:46:56,27093.4
23,88,742,59,2021-01-23 11:11:08,5021.88
24,175,198,159,2020-11-11 21:00:08,48652.34
25,601,927,438,2021-05-27 16:44:24,45054.65
26,850,503,293,2021-01-08 11:56:53,13566.44
27,678,106,411,2021-05-15 22:41:01,30999.51
28,538,688,169,2022-05-03 00:16:57,46348.67
29,846,499,129,2021-10-05 13:25:19,49920.7
30,73,571,402,2020-02-15 18:39:47,21580.16
31,778,970,315,2021-01-04 13:24:52,38366.47
32,917,374,480,2021-10-11 07:01:02,19987.24
33,116,904,472,2022-01-25 14:36:08,42646.3
34,977,927,33,2022-12-31 09:40:07,32700.43
35,756,342,18,2022-05-21 03:59:15,34960.85
36,710,31,456,2021-07-10 00:30:55,32618.04
37,848,426,264,2020-11-06 13:08:09,30445.23
38,432,9,375,2021-08-11 19:54:47,36746.76
39,449,66,438,2020-02-03 04:34:43,8928.55
40,851,622,145,2021-07-26 09:19:35,11795.06
41,100,470,128,2022-11-23 00:01:07,32674.79
42,985,265,363,2021-09-25 05:44:48,16692.46
43,178,250,31,2021-02-18 18:03:17,27694.54
44,756,750,287,2020-09-15 07:01:46,35783.6
45,798,50,419,2020-12-30 23:07:18,22614.25
46,660,373,410,2020-06-26 01:03:14,43882.99
47,148,65,339,2020-09-23 14:29:55,11486.49
48,911,604,202,2021-08-15 21:57:44,48729.66
49,424,51,467,2021-12-30 00:30:41,42672.51
50,289,177,149,2021-02-20 11:49:40,47917.26
51,962,474,186,2022-12-25 09:31:46,5455.1
52,266,670,205,2020-11-27 06:29:43,13879.48
53,698,584,272,2020-11-19 04:38:11,43915.33
54,640,539,214,2020-01-04 19:15:19,43975.06
55,545,480,171,2022-05-16 03:36:35,40559.38
56,544,399,167,2021-11-21 17:40:30,28975.24
57,715,890,406,2022-06-25 21:09:25,40305.99
58,245,788,140,2022-10-28 08:13:07,28253.45
59,152,127,243,2020-06-04 16:16:46,32489.57
60,676,137,326,2022-07-06 14:44:56,41994.69
61,511,40,86,2022-03-29 04:57:38,38369.41
62,460,926,119,2020-10-15 06:15:06,22116.88
63,883,280,471,2021-10-03 10:41:17,12528.42
64,184,846,108,2020-10-02 13:09:44,8978.79
65,29,41,475,2021-12-15 15:00:48,10192.82
66,803,130,402,2021-09-22 09:12:06,20013.37
67,129,858,457,2021-06-05 23:09:31,42920.59
68,129,473,274,2020-11-02 06:20:11,9295.35
69,933,799,150,2020-03-01 20:58:57,19650.42
70,54,426,308,2020-10-01 08:21:14,44362.94
71,902,849,259,2020-01-31 22:21:28,30414.82
72,551,381,59,2020-01-08 03:03:02,7455.94
73,489,831,496,2020-06-08 12:10:02,33209.92
74,757,844,443,2021-06-08 00:52:30,22857.6
75,274,872,49,2021-04-17 23:14:10,36039.2
76,336,840,497,2020-11-02 01:31:05,42790.97
77,389,615,42,2022-12-19 20:22:32,37355.08
78,618,470,286,2020-08-06 01:54:20,18073.72
79,43,985,218,2021-03-28 02:35:07,12958.65
80,443,294,468,2021-10-31 15:49:36,37344.14
81,544,812,353,2020-09-29 17:52:50,43786.61
82,889,444,77,2020-01-02 14:23:38,12276.43
83,258,677,50,2021-09-05 06:52:38,47293.84
84,322,673,176,2022-03-21 11:47:04,33169.4
85,1000,842,118,2020-11-28 17:27:22,14162.06
86,938,754,39,2021-08-29 14:02:32,13627.89
87,58,768,301,2020-04-18 07:29:52,33002.89
88,292,913,82,2021-10-29 05:28:27,12384.41
89,871,420,384,2020-04-28 02:16:08,40967.27
90,120,760,158,2020-04-05 10:41:02,35907.04
91,780,388,325,2020-10-22 08:06:33,20097.15
92,431,552,407,2020-12-27 20:24:44,24488.24
93,83,422,207,2021-05-18 21:42:13,15537.3
94,92,507,165,2020-12-02 15:20:46,5642.91
95,897,260,178,2022-09-26 09:45:35,41222.17
96,399,425,465,2020-08-30 05:15:28,22865.12
97,612,571,80,2020-02-09 17:51:19,33977.15
98,566,484,416,2020-09-23 13:43:14,17446.57
99,909,642,402,2022-06-24 01:24:55,38577.36
100,634,516,65,2020-08-04 05:14:09,7722.0
101,939,524,16,2022-03-18 10:33:41,36840.24
102,85,388,451,2020-04-28 03:04:59,41167.87
103,204,111,350,2022-12-09 03:44:13,5172.6
104,325,511,360,2021-08-14 03:53:32,13971.22
105,775,700,430,2021-05-20 00:44:05,46503.63
106,965,141,187,2020-11-16 12:25:16,5197.14
107,48,865,291,2022-02-05 19:42:27,9618.08
108,640,936,383,2021-04-07 09:54:22,6663.68
109,132,819,78,2022-07-30 08:00:18,47058.62
110,973,769,435,2021-01-10 00:41:28,18406.81
111,869,567,124,2020-07-30 20:24:23,13242.05
112,181,55,223,2021-10-18 05:25:11,29022.55
113,847,624,452,2020-02-21 13:44:29,42992.17
114,144,856,354,2021-06-02 14:04:26,48149.63
